phraseId,phrase
24279070,ಮುಂಬೈ ಎಫ್‌ಸಿಯ ಮುಂದಿನ ಪಂದ್ಯ ಯಾವಾಗ ಎಂದು ನೀವು ನನಗೆ ಹೇಳಬಲ್ಲಿರಾ?
23578942,ಇದರಿಂದಲೇ ಪ್ರತಿ ತಿಂಗಳು ಗರ್ಭಾಶಯವು ಮೊಟ್ಟೆಯೊಂದಿಗೆ ಈ ಪದರವನ್ನು ಹೊರಗೆ ಬಿಡುವುದು
23442442,ಗೀತಾ ಕನ್ನಡ ಭಾಷೆಯಲ್ಲಿನ ಭಾರತೀಯ ದೈನಂದಿನ ಧಾರಾವಾಹಿಯಾಗಿದೆ
23443468,ಬುದ್ಧಿವಂತಿಕೆಯು ವಯಸ್ಸಿನ ಜೊತೆಗೆ ಬೆಳೆಯುತ್ತ ಹೋಗುತ್ತದೆ ಎಂಬ ಜನಪ್ರಿಯ ಅಭಿಪ್ರಾಯಕ್ಕೆ ಇದು ವಿರುದ್ಧವಾಗಿ ನಿಲ್ಲುತ್ತದೆ
24051720,ಏಕೆಂದರೆ ಇತರ ಕಂಪನಿಗಳು ತಾರತಮ್ಯವನ್ನು ಪ್ರಚೋದಿಸುತ್ತವೆ ಮತ್ತು ಆ ಕಂಪನಿಯನ್ನು ಬೇರ್ಪಡಿಸುತ್ತವೆ
23633778,ನನಗೆ ಬೆಳಗಾವಿಯಲ್ಲಿರುವ ರಾಯಭಾರ ಕಚೇರಿಗಳನ್ನು ತೋರಿಸಿ.
23464458,ಆಸ್ಟ್ರೇಲಿಯಾದ ಬಲಗೈ ಆಫ್ ಬ್ರೇಕ್ ಬೌಲರ್ ಹಾಗೂ ಕೆಳ ಕ್ರಮಾಂಕದ ಬಲಗೈ ಬ್ಯಾಟ್ಸ್ಮನ್
24253410,ಎ ಯಿಂದ ಪ್ರಾಣಿಶಾಸ್ತ್ರದಲ್ಲಿ ಡಾಕ್ಟರೇಟ್ ಪದವಿಯನ್ನು ಪಡೆದರು
23522484,ಇಂದು ಇದು ದ್ವೀಪಗಳಲ್ಲಿನ ಅತಿ ಹಳೆಯ ಪರಿಸರ ಸಂರಕ್ಷಣಾ ಸಂಸ್ಥೆ
23638902,ಪ್ರಯಾಣಿಕರ ಸೀಟಿನ ಉಳಿಸಲಾದ ಸ್ಥಾನವನ್ನು ಲೋಡ್ ಮಾಡಿ
23522842,ಹಳೆಯ ಬನಶಂಕರಿ ದೇವಾಲಯದ ಗರ್ಭ ಗೃಹವು ಮಣ್ಣಿನಲ್ಲಿ ಹೂತು ಹೋಗಿದೆ
23481224,ಈ ಸಾಹಸಿ ಮಗಳ ಪರವಾಗಿ ತಾಯಿ ಪ್ರಶಸ್ತಿ ಸ್ವೀಕರಿಸಿದರು
