Script,Id,Group_ID
ಮುಂಬೈ ಎಫ್‌ಸಿಯ ಮುಂದಿನ ಪಂದ್ಯ ಯಾವಾಗ ಎಂದು ನೀವು ನನಗೆ ಹೇಳಬಲ್ಲಿರಾ?,24279070,30001
ಇದರಿಂದಲೇ ಪ್ರತಿ ತಿಂಗಳು ಗರ್ಭಾಶಯವು ಮೊಟ್ಟೆಯೊಂದಿಗೆ ಈ ಪದರವನ್ನು ಹೊರಗೆ ಬಿಡುವುದು,23578942,30001
ಗೀತಾ ಕನ್ನಡ ಭಾಷೆಯಲ್ಲಿನ ಭಾರತೀಯ ದೈನಂದಿನ ಧಾರಾವಾಹಿಯಾಗಿದೆ,23442442,30001
ಬುದ್ಧಿವಂತಿಕೆಯು ವಯಸ್ಸಿನ ಜೊತೆಗೆ ಬೆಳೆಯುತ್ತ ಹೋಗುತ್ತದೆ ಎಂಬ ಜನಪ್ರಿಯ ಅಭಿಪ್ರಾಯಕ್ಕೆ ಇದು ವಿರುದ್ಧವಾಗಿ ನಿಲ್ಲುತ್ತದೆ,23443468,30001
ಏಕೆಂದರೆ ಇತರ ಕಂಪನಿಗಳು ತಾರತಮ್ಯವನ್ನು ಪ್ರಚೋದಿಸುತ್ತವೆ ಮತ್ತು ಆ ಕಂಪನಿಯನ್ನು ಬೇರ್ಪಡಿಸುತ್ತವೆ,24051720,30001
ನನಗೆ ಬೆಳಗಾವಿಯಲ್ಲಿರುವ ರಾಯಭಾರ ಕಚೇರಿಗಳನ್ನು ತೋರಿಸಿ.,23633778,30001
ಆಸ್ಟ್ರೇಲಿಯಾದ ಬಲಗೈ ಆಫ್ ಬ್ರೇಕ್ ಬೌಲರ್ ಹಾಗೂ ಕೆಳ ಕ್ರಮಾಂಕದ ಬಲಗೈ ಬ್ಯಾಟ್ಸ್ಮನ್,23464458,30001
ಎ ಯಿಂದ ಪ್ರಾಣಿಶಾಸ್ತ್ರದಲ್ಲಿ ಡಾಕ್ಟರೇಟ್ ಪದವಿಯನ್ನು ಪಡೆದರು,24253410,30001
ಇಂದು ಇದು ದ್ವೀಪಗಳಲ್ಲಿನ ಅತಿ ಹಳೆಯ ಪರಿಸರ ಸಂರಕ್ಷಣಾ ಸಂಸ್ಥೆ,23522484,30001
ಪ್ರಯಾಣಿಕರ ಸೀಟಿನ ಉಳಿಸಲಾದ ಸ್ಥಾನವನ್ನು ಲೋಡ್ ಮಾಡಿ,23638902,30001
ಹಳೆಯ ಬನಶಂಕರಿ ದೇವಾಲಯದ ಗರ್ಭ ಗೃಹವು ಮಣ್ಣಿನಲ್ಲಿ ಹೂತು ಹೋಗಿದೆ,23522842,30001
ಈ ಸಾಹಸಿ ಮಗಳ ಪರವಾಗಿ ತಾಯಿ ಪ್ರಶಸ್ತಿ ಸ್ವೀಕರಿಸಿದರು,23481224,30001
ಪುನಃ ಆಲ್ಬಕರ್ಕ್ ಸ್ವಲ್ಪ ಕಾಲದಲ್ಲೇ ಗೋವವನ್ನು ವಶಪಡಿಸಿಕೊಂಡು ಪೋರ್ಚುಗೀಸರ ಆಡಳಿತವನ್ನು ಸ್ಥಾಪಿಸಿದ,23440656,30001
ಹಿಂದಿಯಲ್ಲಿ ಆಚಾರ್ ಪದದ ಅರ್ಥ ಉಪ್ಪಿನಕಾಯಿ ಎಂದೂ ಆಗಿದೆ,23489492,30001
ವಿಧಾನ ಸೌಧವನ್ನು ತೋರಿಸಿ.,24279420,30001
ಇದು ನೀರಾವರಿ ಇಲಾಖೆಗೆ ಸೇರಿದ್ದು ಪ್ರವಾಸಿಗರಿಗೆ ಉಳಿದುಕೊಳ್ಳಲು ವಸತಿ ಸೌಕರ್ಯವಿದೆ,23381498,30001
ಅನೇಕ ಕೋಟೆಗಳು ಇನ್ನೂ ಅವರ ವಶದಲ್ಲೇ ಇದ್ದುವು,23416238,30001
ಈ ಬಸದಿಯನ್ನು ಎರ್ಮಾಳು ಬೀಡಿನ ಪೂರ್ವಿಕರು ಸುಮಾರು ೭೦೦ ವರ್ಷಗಳ ಹಿಂದೆ ನಿರ್ಮಿಸಿದರು ಎಂದು ಹೇಳುತ್ತಾರೆ,24044056,30001
ಕೇರಳದ ಸಂಗೀತ ಕೌಶಲ ಒಂದು ನಿಶ್ಚಿತವಾದ ಶೈಲಿಯಲ್ಲಿ ಬೆಳೆದುಕೊಂಡು ಬಂದಿದೆ,23481356,30001
ಹುಬ್ಬಳ್ಳಿಯ ಹತ್ತಿರದ ಕಾರು ಬಾಡಿಗೆ ಸೇವೆಗಳನ್ನು ಹುಡುಕಿ.,23655266,30001
ಈ ಸಸ್ಯದ ಹೂವುಗಳು ಐದು ದಳಗಳನ್ನು ಹೊಂದಿರುತ್ತದೆ,23340080,30001
ಈ ಸದಸ್ಯರನ್ನು ರಾಜ್ಯ ವಿಧಾನ ಮಂಡಲಕ್ಕೆ ಆಯ್ಕೆ ಮಾಡಲಾಗುತ್ತದೆ,23382228,30001
ಅದಕ್ಕೂ ಮೊದಲೇ ಅವರು ಲಷ್ಕರಿ ಶಾಸನದ ಮುಖ್ಯ ಆಡಳಿತಗಾರರೂ ಸೇನಾ ಮಹಾ ದಂಡನಾಯಕರೂ ಆಗಿದ್ದರು,23549542,30001
ಈ ಮಿತಿ ಮತ್ತು ವ್ಯತ್ಯಾಸಗಳನ್ನು ಮೀರಿಸಲು ಪ್ರಾಯೋಗಿಕ ಬಳಕೆಯಲ್ಲಿ ಹಲವಾರು ನಿರ್ವಹಣಾ ಚಾತುರ್ಯಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ,23349174,30001
ಇಂತಹ ಬೋನ್ಸಾಯ್ ಗಿಡಗಳ ಬಗೆಗಿನ ಅಚ್ಚರಿಯ ಸಂಗತಿಯೆಂದರೆ ಇವು ಒಂದು ಶತಮಾನ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚು ವರ್ಷಗಳ ಕಾಲ ಬದುಕಬಲ್ಲವು,23367862,30001
ಭಾರತೀಯ ಮಾನವು ಮಾಡ್ಯುಲರ್ ಇಟ್ಟಿಗೆಗಳನ್ನು ಬಳಸಲು ನಿರ್ದೇಶಿಸಿದೆ,23405874,30001
ಜನರಲ್ ಮೋಟರ್ಸ್ ೧೯೦೮ರಲ್ಲಿ ಸ್ಥಾಪನೆಗೊಂಡ ಒಂದು ಮೋಟಾರು ವಾಹನ ತಯಾರಿಸುವ ಕಂಪನಿ,24174022,30001
ಬಯಲು ಸೀಮೆಯಲ್ಲಿ ಇದು ಛತ್ರಿಯಾಕಾರದ ಮರವಾಗಿ ಬೆಳೆಯುತ್ತದೆ,23529994,30001
ಒಳಗಿನ ಪ್ರಾರ್ಥನಾ ಮಂಟಪದಲ್ಲಿ ನಾಲ್ಕು ಕಂಬಗಳಿರುವ ಮಂಟಪ ಇಲ್ಲ,23546424,30001
ಆ ಸಮಯದಲ್ಲಿ ಪುರಾತನ ಸಿಂಧೂ ನದಿಯ ಹಿಂದಿನ ಹರಿವಿನ ಅಸ್ತಿತ್ವವನ್ನು ಸೂಚಿಸುವ ಕುರುಹು ಕಾಣುವುದು,23485518,30001
